sentence,emotion
ligaya pasko bati naomi ngiti,joy
ligaya pasko sagot kay naomi hideo,joy
dito tanong lapit alam mo mas delikado taas defense system,fear
hayaan mo ako tulog ngayon gabi alis hood balabal ulo,fear
wow akala ba hotel puwede punta kailan lamang tulog,anger
tanong tingin bigla ngisi mo miss mo senshin,anger
tingin ganiyan,fear
pansin tanong ano pangyayari,fear
sama elite rin hindi ba,fear
kaya harap bulong,fear
suko mo katayuan,sadness
huh ano mo,anger
bata,anger
tsk sana suko,sadness
ligaya pasko bulong tulog ayos,joy
ano mo,anger
tagal mo gise reklamo,anger
alis tanong,sadness
mo ba nanatili asar,fear
bulong pihit mata,sadness
mo lamang sabi direkta ayaw mo sama rebelyon,fear
tingin mo ba mage ganoon,anger
intindi bulong sige paalam siguro,sadness
puwede ba bisita tanong,sadness
takot kaniya mukha mmaam michiko,fear
punta miss mo alam mo mo hanap,sadness
lalo galit,sadness
huh iyon bata tanong payag ba siya pasok isla,anger
isip mo naman,sadness
sandali,anger
hideo imik naomi kalma,anger
good luck,fear
haruka tigil mo utos tiwala dito,anger
alis keith sagot,anger
tawa reklamo kalma,anger
uhh ano tanong tingin banda bintana,fear
balik ba tanong,sadness
curious ba ngisi nag pabaya isip,anger
mo ba alam sagot dagdag,sadness
ba ayaw niyo shinigami,fear
,sadness
patay sagot tuwid,sadness
huwag alala patay dagdag labi ukit ngiti namatay natural dahil,fear
whoa ganda dito bulala tayo tabi bintana,sadness
ano tanga sabi salita ekspresyon seryoso ba ano sabi,anger
haha sabi mo,joy
halos sama nang alaga mo ako,sadness
okay tigil mo sigaw lubos gulo,anger
sayang labas silid,anger
ora sigaw vivien,anger
maam michiko tawag hingal bese,fear
hey bati,joy
ganiyan pangyayari ungol hiroshi pansin hayate,sadness
ba proud iyan fight style kay mitsuo tao,joy
talaga takot,fear
kailan uwi tanong,sadness
hmm wala linggong,sadness
husga,anger
medyo umokay rin damdam tapos tulog kain,fear
bwesit bata,anger
kumusta tanong,fear
bali braso bulong dulot pout aksidente,sadness
ano mo tanong mahimbe mata pikit,fear
ah shit limot kita si keith buntong hinga,anger
sinungale,anger
tao nilalang bago buhay sila pinakamahusay kaya upang angkop,joy
tapos ika siglo tangi uri tao kilala sarili lahi erityian ngalan dapat pinagmulan kakayahan anak espesyal dugo,joy
sadya nakikisama normal tao ligta sira sibilisasyon buhay,sadness
pagod pagod abot emiko anak bisig nakatatanda aake anak bigay mo anak,anger
halimaw sigaw babae subok alis bahay ngunit mas bili lalaki,anger
mo kailangan usap iba katangian mata sino narinig mo ba,fear
ngunit taon poot ba gawa kapatid,anger
alam hirap sabi ama sila muhi ama bait tao ganoon,joy
sobra ganid masama pakinabang ama bait ngunit naiv,anger
bili mo putol usap ryō alis lugar,anger
ama ka,fear
ama tawag tao tao punta,fear
totoo lagi muhi tao ngunit ayaw bahagi mo pareho damdamin masama,anger
gaano hirap buhay nang ayos shō ryō buhay patunayan sala buhay,joy
ano nangyari tiga katawan ryō nang alala pangyayari wala malay ama,fear
ama,fear
ama sigaw ryō takbo tungo kay shotarō,sadness
atin maari kita shō,fear
dahil talaga halimaw mata ama mata misteryo patay ina angkan,sadness
ganoon kapatid sagot tingin mo ba trato sila taon normal lagi ture outcast iba halimaw,anger
ano ano mo ryō,fear
patuloy tapos negosyo ama,anger
ryo mo,fear
patay atake,anger
atin alis nayon ryō,fear
sabi angkan dati nang dangal lahi samurais,joy
tayo tahimik alis bahay,fear
mo babad kamay higit pa dugo kapatid,fear
ngunit palibot,fear
hayaan patay,anger
titig mo mundo mo dito balik kuha dangal angkan yaman laki ama paalam kapatid,anger
pangako diyos patay pigil ama mage,anger
tribo ngalan patay iwa ngunit bigay magulang ngalan ako wala,sadness
ishida bulong bata mata kislap saya,joy
mo maari protekta taka lalo lagi tago panganib mo tibay,sadness
iyak,fear
kita ngiti wala ka takot,joy
kaya mo kailangan tago mata dagdag,joy
danas taginit ngunit init presensya ganito si natsue,joy
hawak kaniya kamay ngiti saya salamat,joy
paalam kapatid,sadness
balik kita kita,sadness
usap sunod lalaki awa,fear
hingi awa,anger
usap pamilya ako,fear
nang huli hingi tulong mismo bagay alis mo,anger
alis patay,anger
tatayo lamang ba diyan buo gabi,anger
tawad panginoon,sadness
pangyayari tawad ginoo ito,fear
kapangyarihan ganito manatili burakumin patay,sadness
ganito palad anak pinakamababang uri,sadness
paumanhin ginoo,sadness
araw dakilang kapangyarihan natural elemento ipapasa dapat isip dakilang ninuno si czeslav,joy
layo,fear
yllka hina tawag ina kulong mukha tingin sakit ba,fear
hawak buti,anger
nagmamarcha handa,fear
sunog mo rin gubat,fear
patay apoy,anger
mata bulong mas gaan kulay,fear
ayos yllka,joy
espion hirap ba,fear
sapat lakas upang pasok taka base talino upang mangolekta impormasyon gawa kontraimpormasyon kaaway,fear
pabaya bansa lingkod nang tagpo kaaway,sadness
ngunit normal hindi ba ba sumpa ina,sadness
anak kinig pagige hirap ngunit sumpa dahil kalooban ninuno,sadness
bukas isip pabor sangkatauhan tuloy unlad man atin tanggap malay diyos kapangyarihan natural puwersa,sadness
mo ama mo una,sadness
dakila espion bigay liwanag mundo,joy
dahil rin nasa dulo linya,sadness
tulong kita ama labas tayo,fear
talaga lungkot pinagawa ngunit kailangan upang ligta tayo,sadness
mukha naman gulat lalaki ngunit silay nakakagaan ngiti mukha talaga hawig ngalan hagen pagpapakilala,joy
hagen sama mage alaga tagapagtanggol lihim mundo,joy
bili pangyayari unawa bilang sibilyan,fear
si ishida,fear
iitoy tingin si shinji nanatili tiwala,fear
nagngingitngit balita,anger
sakto suntok isip inasinta leeg ngunit agad pigil plano samurai tabi,anger
,anger
patay,anger
dakilang alalay,anger
labas mo dito,fear
hhalimaw patay,anger
buhay mo bayad,anger
ngalan layunin mananakop,anger
ilog nasa teritoryo,anger
ngunit pinuno,fear
baba dito,sadness
mo gawa pinuno,fear
,anger
sapat titig edda tahimik crew dala kila hagen morgan inyo buhay mage ganda kalalabasan alis kayo,anger
ba talaga gitna mundo,fear
ngiti agad si edda nang taon sakay berde mata minsan lahok,joy
wakasikinalulugod kilala,joy
tawad ako huli,fear
ngunit sama tila galit,anger
ishida tanda mo hatol,anger
alala ligta panginoon,fear
kapatid tugon bakas galit mukha,sadness
nang uwi lalo dali,joy
ahente gale pinakamalayong lupa nagagawang pasok,anger
tinikop yllka kaniya kamaomay mananakop ba nayon balak,anger
kapangyarihan taglay bago mundo edda,joy
ito mangha ngunit takot pili nanatili anino tingin mo rin,fear
pangit tao,anger
dati namin lawak tahanan bawa bilang nayon nagkakandirit bundok,anger
lamang likas yaman manakop lupa,anger
tiwala,anger
sapat iyan loko kapatid sigaw ryo,anger
bait basta bigay man wala ako bigay taon mo protekta hamak,anger
tayo bago nasyon,joy
halip tago mundo tayo likha ligta lugar atin dito atin masdan mundo layo,joy
gaya asa saysay pulong,anger
ayaw makipagsabwatan taon ayon paniniwala bukod ako lupa pinamumunuan,anger
usap ryō puwede ba tayo usap,sadness
paalam sanay kita,anger
ganda pangyayari pinuno,sadness
rin tayo balik pinuno,fear
ligta,fear
uwi,anger
ayaw totoo lamig,anger
hey ingat,fear
dula,fear
marami salamat,joy
kumusta tribo huntre narinig grupo manguudyok muli litaw,fear
kayo huli,anger
lagi ka usisero hindi ba,anger
tribo ahensya talino tingin mo ba mas iba alam,anger
ngiti si rainie oh oo untiunti nang salo gawa,joy
ayos krystal mage opisyal summit pinuno,joy
poot bagay dali mapawi sigurado ako alam atin iyan,anger
ngunit asa gawa atin tahakin daan tungo pangarap iyan papaano tuloy si rainie,sadness
tahimik bilang segundo ngunit tawa nel basag tensiyon bagaman pinakabata tila hiya iba husay salita,joy
hintay lider mas mature,joy
mo lamang dali galit nel,joy
ngiti labas labi nang,joy
tibialis anterior damage,fear
sadly he west,sadness
sorry,sadness
joke,joy
nice see rainie,joy
uh oh smell trouble,fear
sudden sense incredible amount pressure we summon draw weapon point table chair suddenly frozen,fear
sound like dad leader,joy
place quiet tend hear lot buzz hum plus tension surround high,fear
course team successfully infiltrate shinigami base retrieve comrade eye,joy
that great,joy
see guess there need worry,joy
thank way warm since live cold place,joy
nice do even notice toss reiji catch,joy
dangerous she worry we,fear
do let go hiro say next thing know black dimension already close see pain expression,fear
almost die,fear
lose husband dearest friend do see son fifteen year,sadness
two fatal point dire state,fear
nno way eye,fear
trouble,fear
hear two curse inside head head building front,anger
smile triumphantly fulfil role,joy
do think last long lunge,sadness
shinigami go kill,fear
hell creepy feel,fear
one word ill behead,anger
could old hag,anger
you go we whether like,anger
bad feel,fear
go erase place suffer lot,anger
chase,anger
will let touch whisper release arrow bow,anger
hit back shinigami darwin look proud expression,joy
look father take building feel sense relief sadness see action know want time want erase place mother suffer,sadness
yeah i scare know truth,fear
really admire mama you strong even nobodys talk say curse always hero sad you anymore,sadness
die arm,sadness
do know say see sadness eye past month i recollect unfamiliar memory,sadness
remember bad forget,sadness
cry fill place,sadness
still unstable recover thank,joy
wow thank darwin i go use,joy
i glad do turn way still side,joy
i back vince whisper caress grave,sadness
death still haunt give nightmare,sadness
even though lot thing happen i glad still say keep tear fall pleasedont ever dare die,sadness
come back make memory vivid could rewind time happy could stop time,sadness
however hear thought feel sad hurt he start remember war fifteen year ago oneyear old baby maybe subconsciously push away depth mind second war trigger resurface,sadness
choose protect everything save future instead sorry thankful father nathan,sadness
tear fall remember happy moment together feel miserable memory keep come backbut never never,sadness
tss want get place immediately people i go kick old fart ass get back,anger
nno sir,fear
damn old fart play,anger
well curious be bad,joy
wow that handy bit sad also forget people long time memory fade away,sadness
look confident calculate outside deep inside you anxious insecure,sadness
sir eiichi squeak smile,joy
beyond wild vicious creature freely roam around serve external protection unwelcome visitor however exempt attack,fear
without warn something monstrous charge towards,fear
immediately jump branch tree beside creature bang head straight bark tree shake tremendously almost fall directly thing,fear
low growl make skin crawl moonlight illuminate surrounding stomach tighten due creature unsightly appearance,fear
possess broad long husk look like boar size lion jaw tooth shark body cover sharp hair look second make nauseous panic start engulf sense,fear
think one monster enough scare heck two three six six appear surround we terror dominate mind body,fear
shit say stop mitsuo shout kneel see creature smell fear attract do want attract calm,anger
let hold breathe please stay silent second move position back front,fear
taunt smile form lip,joy
hear council eld make skin crawl group adviser counselor help leader decision rule,fear
loyalty tribe absolute that also reason perceive cold heartless,fear
anything protect senshin place even pose harm danger other,fear
someone follow carelessly say serious tone feel goosebump body first thing come mind escape do want see coward,fear
see huge barren field crow raven vulture fly around sky red set sun heighten eerie scenery also hear voice angry other wail heart stand middle field old man hold weapon bardiche,fear
hey step forward slap hard call anything stupid get fan side point remember hope will fade away memory,anger
go quiet do know happen second smile time know something change we,joy
thank naomi say owe one,joy
he annoying call stupid funny anyway damn,anger
even though tease nonstop ago smile see peaceful expression meet koharu long time must make really happy,joy
already page read part amaze chemical induce emotion call love science part interesting i excite read psychological interpretation,joy
love dangerous next door death,fear
maybe come wrong decision damn old fart fault,anger
hear huh calmly say tone bonechille,fear
thank say smile return,joy
can remember anything parent mother favorite line person memory see clearly eye she right right mitsuo memory flood mind sea blood hundred corpse people cry place middle use remain mental strength shift gaze eye wound fall knee pant heavily,sadness
yes creepy,fear
learn expert say confidence,joy
theory really true say amaze word write book,joy
simultaneously call name presence overwhelm point already suffocate,fear
oohh long time since you distract akira suddenly say look taunt smile,joy
read entry akemi mitsuo menacing face appear mind immediately shudder think shinigami frightening disturb,fear
well know say contemptuous smile frustrate,anger
dead serious stare say something ridiculous second burst laugh,joy
concept closure do even know mean do understand do like feel confuse,sadness
forget say feel twinge chest,sadness
please do hear feel hurt first time break,sadness
like admit do think right yes he great gentle person despite appearance action memory thought see show otherwise,fear
glare eye cunne smile clothe soak people blood sword hold memory make shudder fear,fear
think plan subdue immediately froze see body lie behind guy throat slash blood paint park cobblestone,fear
murderer turn around lock eye see scarred face almost stop breathe,fear
paralyze fear confusion rage intense green eye show sympathy,fear
run away he go kill everyone much fear voice be fake warn effective scramble away scene second guy dead body one leave,fear
point you like can deceive roar laughter make skin crawl shortlive,fear
look like mad man beyond scare reach fan go rigid holler,fear
you roar hold knife hand aim chest want kill die die,anger
turn around eye meet body convulse fear panic should feel early take effect kneel front gently pull hug,fear
do know tear start fall eye slap back frustrate confuse scare time do complain instead pull close,sadness
do want get close breathe feel thump heart chest,sadness
i glad you safe i really glad thankful,joy
liar say sob,sadness
conversation suddenly cut loud thud akira scream turn around akemi already lay unconscious floor,fear
thank should love might hurt break give heart someone could really protect feeling toward ill treasure,sadness
even though sense dwindle feel tear run cheek see agonizing smile want say something voice betray last word hear consciousness slip away,sadness
they gone say soft voice word resonate across room they come back anymore,sadness
she really shinigami akira say look deject,sadness
retort make smile little see lip move miss way tease i glad still think thoroughly even though rough situation,joy
place give menacing smile send chill spine,fear
move feel presence around sense heighten anxiety slowly readie weapon body tense hear sinister laugh park remain desert,fear
suddenly hair nape tingle someone speak near ear,fear
whole body sear throw fire can breathe properly sense slowly fade,fear
shinigami pull hair face come view do know hallucinating face full scar can distinguish feature anymore,fear
intensity gaze enough make nauseous word sting like venom remember memory see early,fear
heart beat increase pace feel like adrenaline serotonin level heighten need diversion feeling suddenly reach gun fire leave side,fear
voice behind send shiver spine thing could use sixth sense manage stop time around three second reposition time reach limit huntre shove shadowlike dagger place three second ago,fear
hear chuckle make smile little like side,joy
yes maybe should tell maybe would get involve maybe feeling toward disappear turn something else,sadness
dumbfound expression replace contemptuous smile heart suddenly increase pace recall reaction involve attraction love one marker unless feel fear,joy
save suddenly say make stop second can swim ill burden please leave save,sadness
thank let go thank let see face endless darkness,joy
she bit different somehow similar see say way look make jittery,fear
do say anything gently pull toward next thing know already hug head spin heart ready burst moment warmth calm,joy
shima island damn say cry scream agony people inhabit fill ear,fear
move close since atmosphere feel disturb do want alone kind place,fear
consecutive roar huge lion leopard front greet we render motionless due fear confusion body twice large normal one look ferocious,fear
almost forget breathe say get cautious danger place could offer plant tree pass emit strange odor chemical accord could paralyze cause hallucination,fear
sudden two guy grab arm one speak point spear mitsuo,fear
mitsuo call frighten situation want reach fan could move arm due strength,fear
lionel mitsuo snarl glare guy,anger
lionel mitsuo look want go side unfamiliar place situation mitsuo one could depend,fear
i sorry say,sadness
guy drag away could feel sting pain hold instead yell observe surround almost gasp see crimsoncolore ground,fear
curse fuck jikko guy yell spat ground,anger
executioner swing scythe immediately close window guy howl anger second disappear body convulse image scenario happen outside,fear
smile look curiosity might young understand concept still want tell,joy
do involve anymore say pierce gaze scythe point direction,anger
body go rigid hear whole name mouth,fear
panic start arise body volcanic ash matter come volcano run towards door pound scream help voice mask mass outcry happen inside head,fear
dare senshin i go kill watch woman scream vulture crow raven circle around naked body cover cut wound,anger
clutch stomach see vulture lunge wound hasten death one crow target eye instinctively close eye imagine scenario place,fear
wail curse fill air eye fling open realize owner voice huntre encounter sea,fear
stop huntre shriek do mean believe please,fear
suddenly feel scare unfamiliar memory start fill overwrite mind second could remember memory anymore,fear
reason point fan direction memory try remember ago become vivid,anger
want stop read memory find still look parent death clutch chest feel like heart would burst second,sadness
disgust say dare question parent clan loyalty support president,anger
be sir hideyoshi treasure friend yet doubt lose lose,anger
word sting like poison could take anymore swing fan direction ready slit throat something restrict hand,anger
see remain strength hold onto dissolve trigger tear pull chest cry heart,sadness
do leave say scare lose thought,fear
people prisoner even executioner share madness think protect have consider ability must hard i sorry,sadness
think great job keep back mind,sadness
cry,sadness
do know face hideo anymore say remember childhood,sadness
i sorry tell truth say break silence,sadness
tear automatically fall hear word remember hardship parent go council idea,sadness
ask try well stay calm even face mind already mess,sadness
bottom heart sorry hurt like say bow apology,sadness
i sorry know truth say shaky voice,sadness
live solace wrongly judge kill i sorry,sadness
know nice you back michiko suddenly say look mitsuo,joy
already know shima jailbreak incident mayu add,sadness
make suffer hideo say make we silent,sadness
i really lucky people life family,joy
hideo check seem trouble calm,fear
one leave place hideo warn eye find,fear
do stop bullshit harshly say could read mind,anger
yes breathe afraid life inside know,fear
i sorry whisper,sadness
worthy someone father do deserve i,sadness
truth hand already soak people blood i kill hundred people someone filthy can something pure,sadness
sorry say hug,sadness
do want label executioner wife child ill anything protect do need worry make choice anything keep danger,sadness
suddenly imagine three we walk together child arm look happily make satisfied,joy
yes great gift give reminder protect i around,joy
hope could attend festival next year together nathan say smile,joy
smile form lip maybe want young brother think she really good take care other,joy
i sorry give kind task say apologetic tone,sadness
promise would cry anymore give birth nathan word stir emotion,sadness
course say we help since young do need worry,joy
do want label executioner child,sadness
what happen ask could sense panic voice,fear
that warn intruder say stand,fear
world voice disappear see room front,fear
hallway voice dissolve thin air see vince expression,fear
do know exact detail i sure black dimension,fear
he state coma,fear
he fine need rest say could see tinge guilt eye rest,joy
suit say give confuse look father mean,joy
stupid mutter try hard cry well thing i hear past week,joy
second tempt stop time look family two guy change world,joy
stay alert say since last encounter do go well,fear
i scare,fear
oh god you really akemi,joy
rainie say smile son,joy
naomi please need see want see please,sadness
say deserve die say thing talk bad you die hand,anger
idiot do say,anger
naomi do thisakemi say family protect please,sadness
hideo please help please,sadness
do touch yell,anger
know need go akemi favor ask nathan start cry hold onto father clothe,sadness
sorry nathan take care mother,sadness
vince do say,sadness
i calm think carefully you safe need worry meaning knock,joy
i sorry nathalie do think save,sadness
sorry,sadness
do say please do say,sadness
please forget weakly say use sixth sense nathalie,sadness
say,sadness
do want cause pain,sadness
stupid i rather live pain forget,sadness
could say word could say forget,sadness
can live anymore ill hurt even,sadness
do care can live ill let live memory,sadness
forget someone like retort smile,sadness
maybe use forget people every think everyone would also like know could live another life i still choose remember even memory erase long you still inside head would enough,sadness
always remember nathalie,sadness
last word hear guy could forget everything,sadness
break function one night lose friend home important person life,sadness
useless powerless use ability stay side,sadness
what use power can even stop death,sadness
could protect mother let protect instead say seem like rain finally stop let start new life rainie,sadness
okay thank,joy
rainie name ask rainie nod,joy
oh god naomi,joy
happy birthday rainie would say every st december,joy
never take place someone i lose,sadness
every new year eve instead stay night always cry sleep,sadness
feel guilty sorry could do something save yet be aware situation,sadness
see right time goodbye nathalie,sadness
i sorry nathan sob hug tight feel hand back i sorry,sadness
remember that enough call mom,joy
memory hard control careful warn since sixth sense allow remember everything,fear
every minute every hour every day always think matter painful always remember like say leave memory home refuge,sadness
never forget vince,sadness
obviously she listen,anger
since four already complete core subject need thing graduate i expect good result,joy
stop feed lie kana hayate retort shell believe everything say,anger
excuse do lie,anger
sure hiroshi butt adjust glass want enumerate lie say since start live,anger
stop idiot say glare two,anger
be romantic,anger
okay stop i go spend time,anger
transferee sir tora say call attention welcome tantei high,joy
observe tiny movement moment eye open stand beside bed,joy
kana exact time wake say roll eye,joy
oh shut,anger
goddamnit j nut,anger
morning hiroshi say hologram walk around room,joy
heck pervert say make hiroshi turn around,anger
meganerd grumble put clothe,anger
what think suddenly ask use inner voice,anger
shy be cute kid,joy
do meet attend say low cold tone,anger
brat practically raise,anger
j really can defeat kid argument kana comment,anger
do know handle hayate add,anger
thank much sarcastically say laugh,joy
actually habit single transferee first week count would go administration office confirm inference i get accurate figure three consecutive year sadly will able year,sadness
well guess first potential target say watch news beingplaye,joy
thank,joy
damn murderer inspector growl look mutilate body ground,anger
let say early help we trust,joy
brutal killer hiroshi comment scan body device invent record state body would instantly send server,fear
sudden feel chill spine someone stare we behind,fear
yeah bloodthirst comparable shinigami answer could feel intensely shinigami track,fear
wait warn,fear
shinigami hayate ask take defensive stance,fear
yeah sense dimension,fear
kill order two shinigami come go back place,anger
look kana like give quick smile you slow meganerd,joy
hhow voice trail second give quick smile expect atama,joy
say wimp,anger
reina stop da,fear
stop yell jump toward shoot we,anger
hell fuck,anger
fine do touch family,fear
mean murderer know kana ask four we raise guard,fear
think find killer motive mutter,joy
heck mind kana ask say thing,fear
really retort hey need worry school actually chakushoku,joy
ask use inner voice see student turn head direction uneasy expression find,fear
remember feel something odd look daughter sagot skin quite bluish,sadness
happen be move ask worry distraught condition,fear
neuromuscular block say difficulty paralyze agent,fear
man nut job kana remark dig nail skin,anger
agree take,fear
hayate say careful guy medical knowledge use advantage like happen hayate,fear
kill he psycho kana suggest disagree,anger
capture alive let suffer consequence action besides will credit arrest we need catch another one,anger
damn get hard sedative to,anger
whoa hugeass needle kana comment look syringe hold might pass someone inject,fear
kana do still one syringe leave yell kana could control momentum anymore run toward direction would get time throw one sword direction hope would stop movement,fear
already late,fear
hhelp kana,fear
pm case close whisper look sun set bloodre sky,joy
vital start stabilize doktor gardan say knee collapse upon hear word still need observe next hour,sadness
apology hayate immediately say do expect shinigami intervene explain,fear
anyway say break silence happen weapon,fear
idiot yell give punch head,anger
would matter you still summon weapon shinigami appear argue,anger
old man hey respect sir aiwa grandfather,anger
say access restrict room laboratory technology department i already graduate do even retract order death kind nonsense,anger
even reminisce hayate ask oh decide read mind,anger
heh embarrass cute,joy
want shinigami boldly ask grip sword,anger
shinigami people despise mutter green eye gleam hatred throw arm ground hunt,anger
heave heavy sigh manage track weapon must sir tora will able continue research,fear
see,anger
mean poor datum security kana suddenly remark get trace easily future technology department seem bleak,anger
really do know pull punch comment,anger
state truth nonchalantly reply,anger
say nice way though mutter scoff,anger
smile yeah bit,joy
look straight eye smile secret suppose like say careful j really would want dig deep,joy
that horrible,sadness
guess suspect remark think ten people go blast,joy
yeah time meet second target,joy
shit curse run rooftop building,anger
happen ask kana,fear
reina happen tanong naman hayate there sudden increase heat signature area,fear
want ask,anger
heir say death,anger
tell say air crackle around we can tell we heir death suffice,anger
reina get,fear
do snap back i part clan need heir function,anger
say hunt heir one clan ask hayate,fear
that probable reason do agree,fear
voice falter could imagine terrible day,fear
flash subtle smile murderer third exhibition,joy
imply smartass,anger
say take one know one hiroshi taunt,anger
do know stupid retort ah i shinigami you dead moment meet,anger
shit idiot do bring weapon mutter rush toward direction,fear
do move terrorist ill cut mouth warn put dagger mouth,anger
agad naman ako lingon masama tingin si hayate know do tell we,anger
shut idiot almost get kill,anger
psychopath grumble remember,anger
minority already discriminate face prejudice everyday live anger people like do show respect remorse exist kana say grip sickle,anger
think superior everyone think right hope experience hell,anger
exactly shinigami,sadness
good work comment look hayate smirk look hiroshi say well,joy
do know feel like someone around can sense presence,fear
shit late curse breath would kill,anger
erityian mutter stare horror monitor shinigami,fear
know erityian way write,fear
feel faint presence black dimension someone come,fear
shinigami alert three we immediately run toward direction,fear
she drive rage she think continue die,fear
rise teshin guy order do train kill mere student,anger
good thing elite do fight we say,fear
hiroshi scoff do see we threat,anger
mmust kill tthem,anger
kana calm please,sadness
must kill kana mutter repeatedly grip sickle,anger
do ever speak of,anger
lone survivor hansen clan blood trickle sickle collapse knee avenge blood,anger
i also worry humdrum,fear
get dangerous hayate mutter let go,fear
idiot hayate mumble,anger
know say cut know hard live life,sadness
tell we chime tell administration matter would help,sadness
scoff help there way would help someone already lose everything,sadness
think someone perish clan worthy attention miss heir,sadness
know go school think could help think could still belong somewhere wrong,sadness
can help depend we friend,sadness
you hansen clan anymore you also part atama family need something ask we do you alone anymore kana please allow we help,sadness
i allow voice wish please please help see end want avenge clan whimper inner voice want free excruciating revenge already please help,sadness
okay,joy
wait do tell you use,fear
without consent,anger
ddaddy kana whimper,sadness
survive child i sorry,sadness
okay do scare everything okay close eye ill,sadness
will anymore wake i sorry leave alone please strong continue protect life even you love,sadness
make thing easy hiroshi add,joy
i rest enough mutter time get revenge,anger
need find elite he one kill father,anger
kana elite reap fight night takeshi say eye vehemently reflect rage know find,anger
do know motive involve mess one thing sure share crime murder hundred innocent people never forgive,anger
finally fight without hold back comment run building smile guess,joy
yeah feel presence careful black dimension might open anytime,fear
ill make pay crime murderer growl,anger
kid pay crime clan tell heir that,anger
kana snarl glare humdrum kill everyone,anger
mumble get dangerous,fear
hell say kana grumble assist person killed⁠ —,anger
damn,anger
behind alert feel opening black dimension near kana,fear
should tell we first explosive vicinity humdrum kana growl glare ariel still knee,anger
i sorry use face survive do worry end near will see face,sadness
kana please calm plead,sadness
face mother could use,anger
bellow dagger graze cheek i enough silly play,anger
well brat,anger
okay everything okay softly say turn head direction,joy
ariel smile yes way,joy
get revenge say whisper finally ffamily ssorry,sadness
know clan scum,sadness
senshin say erityian be shinigami i sorry you hell,sadness
see tthank tell gaze shift kana tthank kindness parent clan would proud,joy
know sob know,sadness
okay mumble convince okay rest,sadness
i sorry i sorry,sadness
should do save three people kill hundred feel disgust yet still feel little relieve family safe maybe turn monster like greeneye criminal,sadness
do know anymore should kill moment find can even decide life,sadness
please somebody please end misery,sadness
do worry much say wipe tear eye face okay,sadness
smile point tree behind we business,joy
wish stay bit long mumble look two,sadness
can know stay persona matter,sadness
i stay year honestly enjoy time almost forget life outside campus,sadness
know send friend hard even unbearable say do know eye play trick could see sadness face time,sadness
well guess goodbye say,sadness
well ill return name kana since alternative name still call say,joy
besides fragrance one kanji mean flow live explain live life let time flow,joy
like remark extend hand ill miss fight,joy
decade since dreadful night see parent die front enough give nightmare every single day regret fail protect sister,sadness
think mom dad okay sixyear old krystal would ask every time commotion outside house,sadness
would force smile say course strong really strong,sadness
do worry anything happen ill protect life ill always side okay,joy
would nod enthusiastically moment feel assure least be alone,joy
take away,sadness
winter protect sister promise,fear
winter alveria say tighten grip neck head alveria family someday take back everything kin steal,anger
nno pplease do kkill,fear
time end rage flame declare raise arm fellow huntre let we reclaim rightfully,anger
krystal call heart race afraid something happen,fear
please mutter sob krystal,sadness
heart feel like rip apart never cry want show could protect strong today everything want keep want protect take away,sadness
take back everything mutter breath walk away pillar flame promise,anger
kill parent wail grip knife tightly turn knuckle white,anger
sister who almost age fail protect say mind surprised feel boy flinch hear do want feel pain,sadness
two year already pass yet could still vividly remember kill pierre,fear
wind attribute could manipulate air around create superior mirage chuckle dito,joy
chill begin creep body watch eye change different color brown purple crystalblue,fear
honestly answer i still bewilder do know i even sure really deserve,fear
oh already use inner voice impressive isaz look subtle smile escape lip strong body keep,joy
leave come back,sadness
dream sister kind expression face heartwrenche,sadness
start walk away painful watch slowly move,sadness
raise voice ask though sound like warn,anger
day hilda become terrifying person,fear
shudder upon see grin nnothe be mean do,fear
ask seethe anger,anger
i glad you still alive leo say,joy
i sorry leo grimace,sadness
minerva she already dead say voice tremble sacrifice save we terrifying flame,sadness
say do want child live way want live normally even though know that impossible want honor wish,sadness
flash melancholic smile say fail protect father master he type guy shoulder everything do worry i sure right time come hell we,sadness
i still sure say want continue watch,joy
fellow huntre call winter alveria son ark descendant lord ivankov lady yllka name ancestor promise winter come inferno end soon,joy
halt winter dito order tone quite dangerous realize already frozen half shack interior,anger
wrong mutter ddont want see anymore,fear
oour eld sister sshe plead allen stop burn village south monster choke back tear,sadness
try sound shake quite evident hhe burn crisp,fear
quick smile escape lip something do expect see rightful leader huntre tribe lady winter,joy
work beam,joy
already know she really sister wistful yet pain smile appear face kelsey kelsey alive safe,sadness
hey cloak yell old lady cmere hag,anger
fault hiss,anger
wwhat happen weakly ask cling dalan arm,fear
tthey do freeze explode snow softly say lady winter reduce nothing,fear
glare almost want freeze right spot wish hale least could control kid,anger
isaz call voice tremble please help do want do want lose,sadness
say do worry take care,joy
time start war declare inform ally month attack white division reclaim what end tragic fire,anger
mom dad whisper stare family photo finally avenge death,sadness
kill stomp right foot flame surround froze take back everything steal,anger
fellow comrade ally roar glare pierre,anger
everything reclaim place honor peace huntre division seethe even mean kill follower,anger
do underestimate fire brat,anger
do die please,sadness
i sorry glacedad groan ggo away find daughter pprotect,sadness
mumble mom dad,joy
anything happen ill protect life ill always side i sorry say voice crack i sorry break promise i sorry leave alone please forgive,sadness
meet ask eye twinkle,joy
i sorry also another family wait,sadness
do know knock growl,anger
first time flash smile front huge crowd,joy
finally home softly say,joy
time feel contentment anger,joy
bloodshot eye look concern jett continue fiddle gun,anger
