sentence,emotion,predicted_emotion
"""What exactly did the Shinigamis do to you?""",sadness,fear
"""Good work,"" she commented while looking at Hayate. Smirking, she looked at Hiroshi and said, ""and you should do better.""",joy,joy
"""I don't know. It feels like someone is around but I can't sense his or her presence.""",fear,fear
"""Shit. We're too late,"" I cursed under my breath. ""But why would they kill her?""",anger,anger
"""An Erityian?"" I muttered as I stared in horror at the monitor. ""Shinigamis?""",fear,fear
"""But why does he know the Erityian way of writing?""",fear,fear
"""I can feel the faint presence of the Black Dimension. Someone's coming.""",fear,fear
"""A Shinigami,"" I alerted and the three of us immediately ran toward that direction",fear,neutral
"She's being driven by her rage. She's not thinking. If this continues, both of them may die.",fear,fear
"""Rise, Teshin,"" the guy ordered. ""I didn't train you to be killed by these mere students.""",anger,anger
"""Good thing those Elites didn't fight us,"" I said.",fear,fear
"Hiroshi scoffed. ""Because they didn't see us as threats.""",anger,anger
"""I . . . I m-must . . . kill t-them . . .""",anger,anger
"""Kana, calm down. Please.""",sadness,sadness
"""I must kill them,"" Kana muttered repeatedly as she gripped her sickle",anger,anger
"""Don't ever speak of—""",anger,anger
"""And I am the lone survivor of the Hansen clan."" Her blood trickled down her sickle and she collapsed on her knees. ""And I will avenge our blood with theirs.""",anger,fear
"""But I'm also worried about that humdrum.""",fear,fear
"""This is getting dangerous,"" Hayate muttered. ""Let's go.""",fear,fear
"""That idiot,"" Hayate mumbled.",anger,anger
"""We know,"" he said, cutting her off. ""We know how hard it is for you to live your life.""",sadness,joy
"""You should have told us,"" I chimed in. ""You should have told the administration about this matter. They would help you.""",sadness,sadness
"She scoffed. ""Help me? There's no way they would help someone who has already lost everything.",sadness,sadness
"""Do you think someone from a perished clan is more worthy of their attention than their missing heir?""",sadness,sadness
"""You know, I went in that school because I thought they could help. And I thought I could still belong somewhere. I was wrong.""",sadness,sadness
"""If they can't help you, then depend on us. We're friends after all.""",sadness,sadness
"""You're not just from Hansen clan anymore. You're also a part of Atama family. If you need something, just ask us. You don't have to do all of these by yourself. You're not alone anymore, Kana. So please, allow us to help you.""",sadness,sadness
"""If . . . if I'm allowed to voice out my wish . . . then please . . . please help me see the end of this. I . . . I want to avenge my clan,"" she whimpered in her inner voice. ""I want to be free from this excruciating revenge already. Please . . . help me.""",sadness,sadness
"""It's okay now.""",joy,joy
"""Wait, don't tell me you'll use it to her?""",fear,fear
"""Without her consent?""",anger,fear
"""D-Daddy . . ."" Kana whimpered.",sadness,sadness
"""Survive, child. You have to. I'm sorry.""",sadness,sadness
"""It's okay. Don't be scared. Everything will be okay. Just close your eyes. I'll be here.""",sadness,sadness
"""I won't be here anymore when you wake up. I'm sorry for leaving you alone. But please, be strong. Continue protecting your life, even if you're by yourself. I love you.""",sadness,sadness
"""Then this makes things easier,"" Hiroshi added.",joy,neutral
"""I've rested enough,"" she muttered. ""It's time to get my revenge.""",anger,fear
"""I need to find that Elite. He's the one who killed my father.""",anger,anger
"""Kana, the Elite of the Reaper you fought that night was Takeshi,"" I said and her eyes vehemently reflected rage. ""And we know how to find him.""",anger,anger
"""I don't know his motives or why he had to involve himself in this mess, but one thing is for sure, he shares the same crime of murdering hundreds of innocent people and I will never forgive him for that.""",anger,anger
"""So, you can finally fight without holding back,"" I commented while we were running through the buildings. She smiled. ""I guess.""",joy,joy
"""Yeah. I can feel its presence. Be careful. The Black Dimension might open anytime.""",fear,fear
"""I'll make you pay for your crimes, murderer,"" she growled.",anger,anger
"""No, kid. You will pay for the crime of your clan. You will tell me about the heir. That's—!""",anger,anger
"""You . . ."" Kana snarled as she glared at the humdrum. ""You were there. You, too, killed everyone!""",anger,anger
"""Where are you?"" I mumbled. ""It's getting dangerous here.""",fear,fear
"""What the hell are you saying?"" Kana grumbled. ""Assist who? The person who killedâ  —""",anger,anger
"""Behind you!"" I alerted as I felt the opening of the Black Dimension near Kana.",fear,fear
"""You should've told us first if there are any explosives in the vicinity, you humdrum,"" Kana growled as she glared at Ariel who was still in his knees.",anger,sadness
"""I'm sorry for using her face. I had to survive. Don't worry, the end is near. You won't see this face after this.""",sadness,fear
"""Kana, please calm down,"" I pleaded",sadness,fear
How can I?! That face . . . that was my mother's! How could you use—!,anger,sadness
"""No!"" he bellowed as my dagger grazed his cheek. ""I've had enough of your silly plays!""",anger,anger
"""You have to do better than that, brat—!""",anger,anger
"""It's okay. Everything will be okay,"" he softly said while turning his head to our direction.",joy,joy
"Ariel smiled. ""Yes. This is the only way.""",joy,joy
"""I . . . got my . . . revenge . . ."" he said in whispers. ""I . . . will . . . finally be . . . with my . . . ffamily. S-sorry for what . . . I did . . .""",sadness,anger
"""If only . . . I have known . . . your clan . . . before those . . . scums . . . if only . . .""",sadness,sadness
"""We're Senshins,"" I said. ""Erityians aren't only the Shinigamis. I'm sorry if you've been through hell because of them.""",sadness,sadness
"""I . . . see . . . t-thank you . . . for telling . . . me . . ."" His gaze shifted to Kana again. ""And . . . tthank . . . you . . . for your . . . kindness. Your parents . . . and clan . . . would be so proud . . .""",joy,joy
"""I know,"" she sobbed. ""I know.""",sadness,sadness
"""It's . . . okay . . . now,"" he mumbled, as if he was convincing himself. ""It's . . . okay . . . now . . . I can . . . rest now . . .""",sadness,sadness
I'm sorry. I'm sorry.,sadness,sadness
"I shouldn't have done that. To save three people, I killed a hundred. I feel disgusted with myself yet I still feel a little relieved that my family is safe. Maybe I am turning into a monster. Like those green-eyed criminals.",sadness,sadness
I don't know what to do anymore. I should've killed myself the moment they have found me. Now I can't even decide for my life.,sadness,sadness
"Please, somebody, please end my misery.",sadness,sadness
"""Don't worry too much,"" she said while wiping off the tears on her eyes and face. ""I will be okay.""",sadness,fear
"She smiled while pointing at the tree behind us. ""I have a business there.""",joy,joy
"""I wish I can stay here a bit longer,"" she mumbled while looking at those two.",sadness,sadness
I can't. You know that I only stayed here because of my personal matters.,sadness,sadness
"""I've been staying here for more than a year, and honestly, I have enjoyed my time here that I almost forgot I have a life outside this campus.""",sadness,neutral
"""I know that sending off a friend is hard, even unbearable for some,"" he said and I don't know if my eyes were just playing tricks on me but I could see the sadness on his face. ""But there are times that you have to.""",sadness,sadness
"""Well, I guess this is goodbye,"" she said.",sadness,sadness
"""Well, I'll be returning the name Kana since it's only an alternative name, but you can still call me that,"" she said.",joy,joy
"""Besides fragrance, one of the kanjis means flowing and living,"" he explained. ""You should live your life and let your time flow from now on.""",joy,joy
"""I like that,"" she remarked as she extended her hand to him. ""I'll miss our fights.""",joy,fear
"It's been more than a decade since that dreadful night. Seeing my parents die in front of me was enough to give me nightmares every single day, but what I regretted the most was failing to protect my sister.",sadness,sadness
"""Do you think Mom and Dad are okay?"" six-year old Krystal would ask every time there were commotions outside our house.",sadness,neutral
"I would force a smile and say, ""of course. They are strong. Really strong.""",sadness,sadness
"""Don't worry. If anything happens, I'll protect you with all my life and I'll always be by your side. Is that okay with you?""",joy,joy
"She would nod enthusiastically and during those moments, I felt assured. At least, I had her with me. I wasn't alone.",joy,fear
But all of that was taken away from me.,sadness,sadness
"Winter, protect your sister. Will you promise me that?",fear,sadness
"""I am Winter Alveria,"" I said as I tightened my grip on his neck. ""The head of the Alveria family. And someday, I will take back everything your kin has stolen from me.""",anger,anger
"""N-no . . . p-please don't k-kill . . .""",fear,fear
"""It's time to end the raging flame,"" I declared as I raised my arm. ""Fellow Huntres, let us reclaim what is rightfully ours!""",anger,anger
"""Krystal!"" I called, my heart racing, afraid that something had happened to her.",fear,fear
"""No, please no,"" I muttered between my sobs. ""Krystal . . .""",sadness,sadness
"My heart felt like it was being ripped apart. I never cried when I was with her. I wanted to show her that I could protect her . . . that I was strong. But today, everything that I wanted to keep, that I wanted to protect, was taken away from me.",sadness,sadness
"""I will take back everything,"" I muttered under my breath as I walked away from the pillar of flames. ""I promise.""",anger,anger
"""But they killed my parents!"" he wailed as he gripped his knife tightly turning his knuckles white.",anger,anger
"""I have a sister who's almost the same age as you and I failed to protect her,"" I said in my mind but what surprised me was when I felt the boy flinching. Did he hear that? ""I don't want to feel that pain again.""",sadness,sadness
Two years had already passed yet I could still vividly remember how they were killed by Pierre.,fear,fear
"""Those with Wind attributes could manipulate the air around, creating some superior mirages,"" he chuckled. ""Nandito na tayo.""",joy,joy
"Chills began creeping through my body as I watched their eyes changed into different colors: brown, purple and crystal-blue.",fear,fear
"""Honestly, no,"" I answered. ""I'm still bewildered. I don't know what to do. I'm not even sure if I really deserve to be here. And . . .""",fear,fear
"""Oh. So you can already use your inner voice. Impressive."" Isaz was looking at me, a subtle smile escaped from his lips. ""Your will is strong, but your body has to keep up.""",joy,joy
"""Why did you leave me? Why did you not come back for me?""",sadness,fear
Dreaming about my sister with that kind of expression on her face was heart-wrenching.,sadness,sadness
He started walking away and it was painful to watch how slowly he was moving.,sadness,sadness
"""Are you raising your voice at me?"" she asked, though it sounded like a warning.",anger,anger
"That day, Hilda became the most terrifying person for me.",fear,fear
"I shuddered upon seeing his grin. ""N-nothing. I . . . I wasn't . . . I mean, I didn't—""",fear,fear
"""Why are they doing that?"" I asked, seething in anger.",anger,anger
"""I'm glad that you're still alive, Leo,"" he said.",joy,joy
"""I . . . I'm sorry,"" Leo grimaced.",sadness,sadness
"""Minerva . . . she's already dead,"" he said, his voice trembling. ""She sacrificed herself to save us from that terrifying flame.""",sadness,sadness
"She said she doesn't want her child to live the same way. She wants her to live normally. And even though I know that's impossible, I want to honor her wish.",sadness,sadness
"He flashed a melancholic smile. ""He said he failed to protect your father, our master. He's the type of guy who shoulders everything. But don't worry. I'm sure that when the right time comes, he'll be with us.""",sadness,sadness
"""I'm still not sure if it's her,"" he said, ""but I want to continue watching over her.""",joy,fear
"""Fellow Huntres,"" I called. ""I am Winter Alveria, son of Ark, descendant of Lord Ivankov and Lady Yllka. In the name of our ancestors, I promise, winter will come and this inferno will end soon.""",joy,joy
"""Halt, Winter,"" Riyo ordered, his tone quite dangerous. That was when I realized I had already frozen half of the shack's interior.",anger,neutral
"""They are wrong,"" she muttered. ""I . . . I d-don't want to see that anymore.""",fear,fear
"""O-our eldest sister . . . s-she pleaded Allen to stop burning villages in the South . . . but that monster,"" she choked back her tears.",sadness,fear
"trying not to sound shaken but it was quite evident, ""h-he burned her to crisp.""",fear,fear
"Just then, a quick smile escaped his lips, something I didn't expect to see from him. ""After all, you are the rightful leader of the Huntres tribe, Lady Winter.""",joy,joy
"""But it worked!"" he beamed.",joy,joy
"""And I already know that she's really my sister."" A wistful yet pained smile appeared on his face. ""Kelsey is . . . Kelsey is alive and safe.""",sadness,fear
"""Hey, you in the cloak!"" he yelled. ""Are you an old lady? C'mere you hag!""",anger,anger
"""This is all your fault,"" he hissed.",anger,anger
"""W-what happened?"" I weakly asked, as I clung to Dalan's arm.",fear,fear
"""T-they didn't freeze. They just exploded into snow,"" he softly said. ""You, Lady Winter, reduced them to nothing.""",fear,fear
I glared at him and almost wanted to freeze him right on the spot. I wished Hale was here. At least I could control that kid.,anger,anger
"""Isaz,"" I called, my voice trembling, ""please . . . help her. I don't want . . . I don't want to lose her again.""",sadness,sadness
"""I will,"" he said. ""Don't worry, I will take care of her.""",joy,fear
"""It's time to start this war,"" I declared. ""Inform all our allies. In a few months, we will attack the White Division. We will reclaim what's ours and I will end this tragic fire.""",anger,anger
"""Mom, Dad,"" I whispered as I stared at the only family photo we had. ""I can finally avenge your death.""",sadness,sadness
"""If you can kill me."" I stomped my right foot and the flame surrounding him froze. ""And now, I will take back everything you have stolen from me.""",anger,anger
"""Fellow comrades and allies!"" I roared as I glared at Pierre.",anger,anger
"""I will do everything to reclaim our place, our honor and the peace between the Huntres' divisions,"" I seethed, ""even if it means killing you and your followers.""",anger,anger
"""Don't underestimate my fire, brat.""",anger,anger
"""Don't die. Please.""",sadness,sadness
"""I'm sorry . . . Glace,""Dad groaned. ""G-go away and find our daughters. P-protect them.""",sadness,sadness
"""It's over . . ."" I mumbled. ""Mom . . . Dad . . . it's over . . .""",joy,joy
"""If anything happens, I'll protect you with my life and I'll always be by your side. I'm sorry,"" I said as my voice cracked. ""I'm sorry breaking my promise. I'm sorry for leaving you all alone. Please forgive me.""",sadness,sadness
"""So, how did you meet them?"" I asked and her eyes twinkled.",joy,joy
"""I'm sorry but I also have another family waiting for me.""",sadness,sadness
"""Don't you know how to knock?"" she growled.",anger,fear
"And for the first time, I flashed a smile in front of a huge crowd.",joy,joy
"""We're finally home,"" I softly said.",joy,joy
"This time, I felt contentment and not anger.",joy,joy
His bloodshot eyes looked at me with concern while Jett continued fiddling with his guns.,anger,anger
The mood instantly went down after mentioning her name. I felt a pang of guilt and anger when I remembered what happened to her during the battle with Nox.,sadness,fear
"As a Keeper, I was supposed to keep my team safe but she almost died because of my shortcomings.",sadness,fear
"I never believed in gods but for the first time, I silently prayed. I just wanted to see her awake and okay before I go.",fear,fear
I was about to go to the bathroom but I received a message from Commander Priam so I immediately went to his office.,fear,fear
"""Agent Naia,"" he called. ""Are you sure you can handle this?""",sadness,anger
"I nodded without a second thought. Only the leaders of the tribes have the authority to enter Shima from the outside but his hands were full with the aftermaths of the Nox's downfall. As someone who had lived there for quite some time, he asked me to bring the criminals to that place.",fear,fear
"Truthfully, I was a bit surprised that he knew my past.",fear,fear
"When I first arrived here, I was sure I modified my background to prevent them from knowing my connections with Shima. I was just thankful that he didn't ask anything about it.",joy,joy
"""There are too many executives for you to escort and it will be too risky for you to handle them alone. Hence, this.""",fear,fear
I stared at the device in awe. Senshins and Custos were really stepping up their game in this field.,sadness,neutral
"""Good luck and come back alive,"" he said and I saluted.",fear,fear
I was admiring the device as I walked to my room when I saw a figure standing on the doorway.,joy,neutral
"""What? Do you want me to check that?"" I asked while pointing at the pistol on his waist band.",anger,anger
Jett quietly followed me as I entered my room and he remained standing while I sat on the side of my bed.,fear,neutral
"""You're really going alone,"" he softly said. ""Yeah. Alone,"" I emphasized.",sadness,sadness
"Even though Cliff and Jett didn't say it out loud before, I knew they wanted to come with me, but it would be hard to travel with outsiders. I didn't want to risk their lives.",fear,fear
"""No,"" I firmly said. ""You won't last a minute there.""",anger,anger
"In a splitsecond, the tip of my sword came in contact with his neck and he stood still, a trickle of sweat running down his face.",fear,fear
"""If you can't even defend yourself against that, then no.""",anger,sadness
"""that's unfair,"" he complained. ""I wasn't prepared.""",anger,anger
"I sheathed my sword and smiled at him. ""The unprepared are the first to die,"" I said as I picked up my luggage. ""Don't miss me too much.""",sadness,anger
I was ready to leave my room but halted when I heard him call my name.,fear,fear
"""Naia."" Turning around, I caught the pistol he just threw at my direction. ""Keep safe."" A smile escaped my lips upon hearing that line.",joy,joy
"I'm a Keeper, I said. ""I need to stay alive to keep my team from dying.""",anger,anger
The smile on my face faded as I marched away from the place that sheltered me since I was young. It's time to return to the place of curses and chaos.,fear,fear
"I had lost track of time as I drifted for days in the middle of the ocean. Fortunately, my supplies were still enough and the ocean was calm",joy,joy
"Nel would surely be awake by now. I could imagine her angry face, questioning Cliff and Jett about me.",fear,fear
A smile escaped my lips as I reminisced the life I had in CIA. It was never easy but it was less troubling than where I was headed.,joy,joy
"Shima had been a subject of myths and rumors among Erityians. Many believed it was not real, until he met his demise.",sadness,sadness
"I could still remember that time, Executioners were ready to slaughter every Shinigami they had imprisoned, not minding the repercussions from the administration and the council.",fear,fear
"Ise, then head of the Jikko clan, vowed to kill every single Shinigami who made his grandson suffer.",anger,anger
"""Naia, you should never allow anyone to read your mind,"" Vince would always say when I was a child.",fear,fear
"""Because they can use your thoughts and memories against you.""",fear,fear
I heaved a sigh. It's been more than a decade since he died yet the pain still lingered inside me. I missed him.,sadness,sadness
"My thoughts returned to the present when the clear sky and water suddenly turned dark. In a span of a few seconds, everything was already covered in fog.",sadness,sadness
A wave of nostalgia hit me as I felt the fog brushed against my skin.,sadness,sadness
"As if on cue, the fog dissipated and the familiar island came into view. The silence I was enjoying a while ago was replaced by cries and screams of agony and pain..",sadness,sadness
The air was filled with metallic and putrid smell—the scent of bloodshed and death.,fear,fear
"I smirked. ""Yeah. I thought you've already forgotten me.""",joy,joy
A guy clad in black holding a huge scythe appeared in front of me. He still looked the same except for the additional creases on his face.,fear,fear
"Farallon was never fazed with anything. Even when Vince brought her here, he remained inexpressive.",fear,fear
"When Vince died, his face was expressionless but his eyes were gleaming with wrath.",anger,anger
Seeing him after a long time made me feel like I was a kid again.,joy,joy
How's everyone? I asked as I came ashore.,joy,joy
Why are you here? he questioned without answering mine.,anger,fear
"Despite his skepticism, he walked with me toward the forest. I heard the familiar roars of Shira and Hyora, the guardians and first line of defense of this island.",fear,neutral
"""Hey,"" I snickered as the lion and leopard made their way to me.",joy,joy
I didn't have any friends of my age in this place and all the Executioners were busy with their jobs and missions so I befriended these two.,sadness,neutral
"Among the natives of this island, only me and Aristus could snuggle with these deadly predators.",joy,neutral
"""Everything has changed here,"" Farallon said as we passed through the forest.",sadness,joy
It was always dark in the woods as the canopy of trees blocked the sunlight.,sadness,neutral
I remembered getting lost here when I was young and Farallon found me in a critical state.,sadness,sadness
My arms accidentally brushed against the leaves of a poisonous plant and rendered me motionless.,fear,fear
The venomous insects buzzed around and the deadly plants' leaves fluttered in the wind.,fear,fear
It took us a while to get out of the forest and the stretch of sludge came into view.,joy,joy
"Farallon wounded himself, his blood trickling from his finger and it dropped onto the boulder at the forest's threshold.",sadness,sadness
The rancid smell was enough to make someone nauseous but it was already normal for the inhabitants of this island.,fear,fear
"Some Executioners halted, others took a glance at me, as I walked beside Farallon. The older ones were able to recognize me as the child who had red eyes.",joy,joy
"""Naia?"" One of the called. ""Is that you, Naia?""",joy,joy
"""Yuma,"" I replied. ""You look old now.""",joy,joy
"He drew his sword and I swiftly fended off his attack. Some Executioners gathered around, bellowing and cheering, as the two of us were caught in an onslaught.",fear,fear
"He was still fast and agile despite his age. I could feel the cuts on my skin, blood streaming through my arms. I managed to land a gash on his cheeks and he looked more excited.",joy,joy
"""Damn, child, you better not underestimate me,"" he beamed as he charged at me.",anger,anger
"That moment, my skin tingled as I felt an intense bloodlust from him.",fear,fear
"""The unprepared are the first to die.""",sadness,fear
"I remembered what I told to Jett and cursed myself for being too softhearted. This was Shima, a place where comrades could kill one another without giving a thought.",fear,fear
"He disappeared from my sight, and the next thing I knew, the tip of his blade was already piercing through my right shoulder.",anger,anger
I gritted my teeth in pain and held his sword.,anger,anger
I kicked his neck as I my hands bled while gripping his blade.,anger,anger
The force made him lose his balance and grip on the sword and I immediately pulled it out of my flesh.,fear,fear
Yuma sat up and laughed hysterically as he looked at me.,joy,joy
"Shit, this is bad, he chuckled. ""I want to kill you now.""",anger,anger
"He was ready to charged at me but everyone suddenly fell silent. I felt the immense pressure in the atmosphere, making my body tremble in fear.",fear,fear
W-what was that? I mumbled.,fear,fear
"Amidst the silence, I heard heavy footsteps approaching our direction. The Executioners gave way and I saw a hooded man walking toward us.",fear,fear
The tattered cloak fluttered as the wind howled. Behind him was a woman who was eerily familiar. Then I remembered Nel's story about a Senshin who had the eyes of a Shinigami and a Custos.,fear,fear
"As far as I remembered, Lionel should be the de-facto leader since Ise lost his only heir when Vince died. I was sure Lionel didn't look like that when I left Shima.",sadness,sadness
"""Child, state your name,"" he demanded and I flinched upon hearing his voice.",fear,fear
"""I see. The child of Diona and Heron,"" he said and my stomach churned in distress as I heard my parents' names.",anger,anger
He carefully removed his hood and I almost got paralyzed by his stare. Intense and cold green eyes looked right into mine.,fear,fear
"""W-who are you?"" I asked, my voice shaking in fear.",fear,fear
He bellowed in laughter as if my question was something funny.,anger,anger
"""A Jikko branch clan member,"" he responded. ""That old fart didn't even talk to me until he needed someone to inherit his position.""",sadness,sadness
"Some Executioners were visibly uncomfortable after hearing him badmouthing Ise. I, too, felt annoyed as Ise was the most respectable person in this island.",anger,fear
"""I vowed to hunt down every single Shinigami but they locked me up in this place""",anger,anger
He seethed and I had to step back because his anger screamed danger.,fear,fear
"""Damn that council of old and coward shitheads.""",anger,anger
"""Dad, calm down,"" the woman behind him softly said.",fear,fear
It had been three hours since I arrived in Shima yet I had already learned about what happened here after Ise and Vince died.,sadness,sadness
"Shira snuggled me and I could hear the guttural sound he was making, as if asking some attention.",sadness,neutral
"Man, you haven't change at all, I snickered while caressing his mane.",joy,joy
I stayed at the shore of the island as they decide what to do with me and the prisoners I had to transfer using the Senshins and Custos technology.,fear,neutral
"Heaving a sigh, I stared at the endless sea.",sadness,sadness
I reached for my weapon as I turned my head around and saw that girl. Speaking of the devil.,fear,fear
She walked toward my direction and Shira started snarling at her.,anger,neutral
"Calm down, boy, I said.",anger,anger
The girl sat beside me and looked at the gray sky. She smiled and it felt so genuine that I let my guard down for a second.,joy,joy
"""You know, when I first arrived here, I thought I was going to die. This time, for real""",fear,fear
"""I, too, was bringing criminals from the Nox and Sir Hideo told me that I should brace myself when I set foot here. I thought it was because of this island's reputation. I thought it was because of this island's reputation.""",fear,fear
She glanced at me and her eyes were so distracting. Her iridescent irises where beautiful and nauseating at the same time.,joy,fear
"""I was attacked by the Executioners the moment I landed. I was a fighter, too, but their strength were on a different level. It felt like I was fighting a Huntres with an instinct of a Senshin. It was terrifying.""",fear,neutral
My lips curved upward. Hearing that compliment for the Jikko clan was uplifting.,joy,joy
"""My plan was to leave the criminals, deliver a news, and go back to Tantei High, but everything changed when their leader came to meet me.""",fear,fear
"""It must be shocking,"" I commented.",fear,fear
"She chuckled in response. ""Not really. My Dad is strong and stubborn so deep in my heart, I knew he was still alive, despite being labeled as missing in the records of the Senshins.""",sadness,fear
"The only ones we were told to be wary about in the Senshin tribe were the remnants of the Great Seven, and some of the professors.",fear,neutral
"""But I didn't expect to see him here. Dad never liked positions.""",anger,fear
"""Well, he's still a Jikko,"" I said. ""And when . . . when Vince died, the main family had no heir to replace him as the future leader.""",sadness,sadness
"I glanced at her, my brows furrowed, unsure if I heard that right.",anger,anger
Huh? What do you mean?,fear,anger
That name triggered a certain memory. I remembered the woman Vince brought here when she returned for a while. It was just a brief time but she was the first friend I had.,sadness,sadness
I stifled a gasp upon hearing that. Vince and Nathalie? They . . . they had a child?,sadness,sadness
"Where are the criminals you are talking about? he asked, but it sounded like a demand.",anger,anger
Maintaining my composure was difficult in front of this Kyo. His presence was enough to feel his superiority and strength.,fear,fear
There were still pools of blood on the ground and vultures were quietly looming above us. Some of the Executioners were preparing a huge pot of boiling oil and setting up several bamboo stakes.,fear,fear
"""Who's going to be tortured?""",anger,anger
"The look on their faces was a mixture of nausea, confusion and anger",fear,fear
"Despite their feet and hands being bound, few of them started attacking the people around . . . which was a wrong and dumb move.",anger,neutral
"""This one's mine!""",anger,anger
"""Humdrums are, indeed, stupid.""",anger,anger
"""Couple of Erityians, too.""",anger,anger
"""How does that feel?"" Yuma taunted as he pointed his scythe to an Executive neck. ""Your members are being toyed by an 11-year old Jikko.""",anger,anger
"""A traitor like you,"" Yuma said as the tip of his scythe digging through Eerie's skin, ""brings shame to the Senshin tribe.""",anger,anger
"My skin crawled upon hearing that familiar voice and when I turned around, I saw Lionel walking toward our direction.",fear,fear
"""I have finished cleaning the Rei level,"" he reported to Kyo.",joy,joy
"""Good,"" Kyo responded and Lionel went to the Nox's direction. ""Reliable as ever,"" he commented.",joy,joy
"""Of course,"" I said. ""He's been Vince's rival since they were young. Strength wise, he's probably second to you.""",sadness,sadness
"""You're right,"" he chuckled. ""But potential-wise, that brat is higher than him.""",joy,joy
"I shuddered when I felt his presence getting stronger and I had to step back to not get overwhelmed. When I looked at him, his grin was nowhere to be found and it was replaced with a grim expression.",fear,fear
"""Okay. I'll be counting on you.""",joy,joy
He silently walked away and I was left alone. I wanted to contact the CIA but communication outside was forbidden in this island.,sadness,neutral
It's been 36 hours since I arrived here and I was still adjusting to the intensity of voices inside my head.,fear,fear
My range had improved and I could now hear the cries and howls in the prisons. It was draining but I was used to this kind of exhaustion since I was a child.,joy,joy
I suddenly remembered how Nathalie almost lost her memories before because of these voices.,sadness,sadness
That must be really scary.,fear,fear
"Hearing a voice inside my head, which was neither a scream of pain nor cries from mind torture, made me flinch. Who . . . wait . . .",sadness,sadness
"Nathalie looked at my direction, a hint of surprise on her face, but after a few seconds, she smiled, as if she had finally recognized me.",joy,joy
Then my eyes drifted to the guy beside him and I halted when I saw his face.,fear,fear
"""This pisses me off,"" Kyo grumbled. ""It's like looking at those two brats' faces.""",anger,anger
"Nathalie chuckled. ""I know what you mean, Sir Kyo. Well, Hideo raised him so he kinda got his personality.""",joy,joy
"""You kid,"" he said while looking at the guy.",anger,anger
Wow. He's got guts. I'll give him that.,anger,anger
Kyo grinned as if he just found someone to toy with.,joy,joy
"""Too much noise.""",anger,anger
"""You probably should not stay here,"" I said and he looked at me. ""Seems like you have the same ability as Nathalie.""",anger,sadness
That was the first time I saw someone greatly affected by the thoughts and inner voices of people despite our capability to block them.,sadness,sadness
"""You can hear inner voices despite their closed minds, right?"" He nodded.",fear,fear
"""You sure you can handle the agony and pain of the tortured? The heinous and brutal thoughts of the prisoners? The radical ways and thoughts of the executioners?""",fear,neutral
He winced before he could answer my questions. I knew it. Those voices must be causing a discomfort and pain on his mind.,sadness,sadness
I stared at him for a few seconds. I wasn't sure if he was confident or just foolish.,sadness,neutral
"Amid the silence, I could hear faint voices, screams of agony and desperation from the prisoners.",sadness,fear
"Within a splitsecond, I drew my sword and swung it to his direction.",anger,anger
"Shock and confusion came into his face, and he leapt back, avoiding a serious cut on his neck. I pulled back my sword and looked at him.",anger,anger
"""Seems like your flight instincts have been honed,"" I remarked as blood trickled from his neck.",joy,joy
"""But, kiddo, Jikkos are known for fighting, not evading. I guess you aren't ready to inherit that name yet.""",anger,neutral
My words seemed to struck a chord and the look on his eyes instantly changed.,fear,joy
I was caught off-guard for a second because he looked exactly like Vince when he's pissed.,fear,fear
"""Kiddo? You seem like just a few years older than me,"" he commented.",anger,anger
"""I call everyone weaker than me a kiddo,"" I retorted, and somehow it felt good.",joy,joy
I didn't know taunting someone who could talk back would be this entertaining since Jett and Cliff would always give up before I could enjoy the conversation.,joy,joy
"Before his hand could reach for something behind him, I lunged at him and gripped his arm.",anger,fear
"I snatched his gun as he fell on his back and pointed it at him. I fired two bullets on each side of his head, just a few inches from his ears.",anger,anger
"""What? Did you life flash right before your eyes?"" I taunted.",joy,joy
A smile escaped my lips as I remembered how they described Vince's death.,joy,joy
"I felt an intense pressure behind us and when I turned around, Kyo and Nathalie was already walking toward our direction.",fear,fear
"I glanced at the guy who just got up and kept glaring at me. ""He'd lose to Karim,"" I replied.",anger,anger
"""Too slow. Too weak. Too emotional. Too self-centered. If I'm an Executioner, I won't offer my trust and loyalty to someone who can't even defend himself.""",anger,anger
Kyo bellowed in laughter while Nathalie looked conflicted.,joy,joy
"That kid's presence was overwhelming, maybe the most intense among the Executioners besides Kyo, but that wouldn't mean anything if his body couldn't keep up.",fear,fear
"""No filters and sugarcoating, huh? I like that,"" Kyo commented.",joy,joy
"I scoffed. ""I don't like toning down my words. A weak must know he's weak, otherwise, he'd be complacent.""",anger,anger
"""Naia . . ."" Nathalie called, a look of worry flashed on her face.",fear,fear
"""I'm sorry, Nathalie. I'm just saying the truth. Well then, I need to rest.""",sadness,sadness
I started walking away from them. Kyo was still chuckling but the two remained silent.,joy,neutral
"My words might be harsh but this place is harsher. His naivety would just cause more harm. If it was the other Executioners that challenged him, he'd be dead by now. He should have prepared himself before setting foot here.",fear,fear
"I was on my way to my cabin when I saw Aristus standing near it. ""Aristus!"" I called as I ran toward his direction.",joy,neutral
"He smiled upon seeing me. ""Naia.""",joy,joy
"""I just learned that you're here,"" he softly said. ""And also Nathalie . . . and his son.""",joy,joy
"""I arrived yesterday and you just heard it today?"" I noted as I squinted my eyes. ""How many days did you spend inside your cave this time?""",anger,anger
"He chuckled nervously. ""Uh, a week, I think?""",fear,fear
